,latitude,longitude,surface_temperature_forecast,actual,2m_temperature_forecast
2017-01-02 00:00:00,51.0,11.5,-3.0,-2.28,-1.9400024
2017-01-02 06:00:00,51.0,11.5,-1.6000061,-0.51,-1.230011
2017-01-02 12:00:00,51.0,11.5,0.5,1.37,0.47000122
2017-01-02 18:00:00,51.0,11.5,-3.7000122,-0.08,-2.7399902
2017-01-03 00:00:00,51.0,11.5,-2.7999878,-0.01,-2.019989
2017-01-03 06:00:00,51.0,11.5,-1.5,0.84,-1.1000061
2017-01-03 12:00:00,51.0,11.5,2.5,2.43,2.6600342
2017-01-03 18:00:00,51.0,11.5,0.8999939,1.59,1.5
2017-01-04 00:00:00,51.0,11.5,2.0,2.67,2.769989
2017-01-04 06:00:00,51.0,11.5,2.2999878,3.13,2.9899902
2017-01-04 12:00:00,51.0,11.5,1.8999939,3.3,2.4599915
2017-01-04 18:00:00,51.0,11.5,-1.2000122,1.67,-0.29000854
2017-01-05 00:00:00,51.0,11.5,-4.700012,-0.77,-4.1099854
2017-01-05 06:00:00,51.0,11.5,-4.0,-2.72,-3.7200012
2017-01-05 12:00:00,51.0,11.5,-2.5,-3.05,-2.9500122
2017-01-05 18:00:00,51.0,11.5,-5.100006,-5.79,-4.9299927
2017-01-06 00:00:00,51.0,11.5,-9.600006,-7.82,-8.900024
2017-01-06 06:00:00,51.0,11.5,-10.100006,-9.47,-9.450012
2017-01-06 12:00:00,51.0,11.5,-5.100006,-5.17,-6.269989
2017-01-06 18:00:00,51.0,11.5,-10.399994,-9.63,-9.160004
2017-01-07 00:00:00,51.0,11.5,-11.5,-13.58,-10.450012
2017-01-07 06:00:00,51.0,11.5,-10.200012,-11.4,-9.73999
2017-01-07 12:00:00,51.0,11.5,-5.399994,-4.45,-5.5899963
2017-01-07 18:00:00,51.0,11.5,-5.299988,-5.26,-5.269989
2017-01-08 00:00:00,51.0,11.5,-3.7000122,-5.12,-3.519989
2017-01-08 06:00:00,51.0,11.5,-1.2999878,-1.66,-1.0499878
2017-01-08 12:00:00,51.0,11.5,0.6000061,0.27,0.6300049
2017-01-08 18:00:00,51.0,11.5,-1.0,0.07,-0.32998657
2017-01-09 00:00:00,51.0,11.5,-1.5,-0.33,-1.0
2017-01-09 06:00:00,51.0,11.5,-6.399994,-0.53,-4.5299683
2017-01-09 12:00:00,51.0,11.5,0.2000122,0.09,0.14001465
2017-01-09 18:00:00,51.0,11.5,-3.0,-0.87,-2.5899963
2017-01-10 00:00:00,51.0,11.5,-3.5,-0.42,-2.8199768
2017-01-10 06:00:00,51.0,11.5,-5.0,-1.3,-4.019989
2017-01-10 12:00:00,51.0,11.5,-2.100006,0.82,-2.100006
2017-01-10 18:00:00,51.0,11.5,-8.799988,-2.6,-7.1799927
2017-01-11 00:00:00,51.0,11.5,-9.0,-2.39,-7.6900024
2017-01-11 06:00:00,51.0,11.5,-5.600006,-1.77,-5.3299866
2017-01-11 12:00:00,51.0,11.5,-0.2999878,-1.1,0.17001343
